Authors	Year	Title	Journal Name	Vol	Issue	Pages	Reference Type	Research notes	doi 	IFAS Unit
"Blosser, E. M., Stenn, T., Acevedo, C. and Burkett-Cadena, N. D."	2016	"Host use and seasonality of Culex (Melanoconion) iolambdis (Diptera: Culicidae) from eastern Florida, USA"	Acta Tropica	164		352-359	Journal Article		10.1016/j.actatropica.2016.10.001	FMEL
"Blythe, E. K., Tabanca, N., Demirci, B., Tsikolia, M., Bloomquist, J. R. and Bernier, U. R."	2016	Lantana montevidensis (Spreng.) Briq. essential oil: chemical composition and mosquito repellent activity against Aedes aegypti L.	Natur. Product Comm.	11	11	1713-1716	Journal Article			Ent/Nem
"Bonneau, M., Johnson, F. A., Romagosa, C. M."	2016	Spatially explicit control of invasive species using a reaction–diffusion model	Ecological Modelling	337		15-24	Journal Article			
"Borisova, T., Bi, X., Larkin, S. and Longanecker, J."	2016	Assessing nature-based recreation to support economic development and environmental sustainability extension programs	Journal of Extension	54	5	5RIB1	Journal Article			FRE
"Boughton, E. H., Boughton, R. K., Griffith, C. and Bernath-Plaisted, J."	2016	Reproductive traits of Lachnanthes caroliniana (Lam.) Dandy related to patch formation following feral swine rooting disturbance	Journal of the Torrey Botanical Society	143	3	265-273	Journal Article		10.3159/torrey-d-15-00064.1	
"Bourguignon, T., Scheffrahn, R. H., Nagy, Z. T., Sonet, G., Host, B. and Roisin, Y."	2016	Towards a revision of the Neotropical soldierless termites (Isoptera: Termitidae): redescription of the genus Grigiotermes Mathews and description of five new genera	Zoological Journal of the Linnean Society	176	1	15-35	Journal Article			Ft Lauderdale REC
"Bowers, A. W., Monroe, M. C. and Adams, D. C."	2016	Climate change communication insights from cooperative Extension professionals in the U. S. southern states: finding common ground	Environmental Communication	10	5	656-670	Journal Article			
"Boyd, N. S. and Reed, T. G."	2016	Strawberry tolerance to bed-top and drip-applied pre-emergence herbicides	Weed Technology	30	2	492-498	Journal Article			
"Boyer, M. J., Dukes, M. D., Young, L. J. and Wang, C."	2016	Mining for Water: Using Billing Data to Characterize Residential Irrigation Demand	Journal American Water Works Association	108	11	E585-E597	Journal Article		10.5942/jawwa.2016.108.0153	ABE
"Bracho, R., Natali, S., Pegoraro, E., Crummer, K. G., Schadel, C., Celis, G., Hale, L., Wu, L., Yin, H., Tiedje, J. M., Konstantinidis, K. T., Luo, Y., Zhou, J. and Schuur, E. a. G."	2016	Temperature sensitivity of organic matter decomposition of permafrost-region soils during laboratory incubations	Soil Biology and Biochemistry	97		1-14	Journal Article			
"Branco, S., Bi, K., Liao, H.-L., Gladieux, P., Badouin, H., Ellison, C. E., Nguyen, N. H., Vilgalys, R., Peay, K. G., Taylor, J. W. and Bruns, T. D."	2016	Continental-level population differentiation and environmental adaptation in the mushroom Suillus brevipes	"Molecular ecology, 10.1111/mec.13892"		doi: 10.1111/mec.13892	Journal Article		10.1111/mec.13892		
"Brandt, L. A., Beauchamp, J. S., Jeffery, B. M., Cherkiss, M. S. and Mazzotti, F. J."	2016	"Fluctuating water depths affect American alligator (Alligator mississippiensis) body condition in the Everglades, Florida, USA"	Ecological Indicators	67		441-450	Journal Article			Ft Lauderdale REC
"Brar, P. K., Strawn, L. K. and Danyluk, M. D."	2016	"Prevalence, Level, and Types of Salmonella Isolated from North American In-Shell Pecans over Four Harvest Years"	Journal of Food Protection	79	3	352-360	Journal Article		10.4315/0362-028x.jfp-15-365	Citrus REC
"Braun De Torrez, E. C., Ober, H. K. and Mccleery, R. A."	2016	Use of a Multi-tactic Approach to Locate an Endangered Florida Bonneted Bat Roost.	Southeastern Naturalist	15	2	235-242	Journal Article			
"Braz, G. B. P., Oliveira, R. S., Crow, W. T. and Chase, C. A."	2016	SUSCEPTIBILITY OF DIFFERENT ACCESSIONS OF CROTALARIA JUNCEA TO BELONOLAIMUS LONGICAUDATUS	Nematropica	46	1	31-37	Journal Article			
"Brecht, J. K., Loaza, F. E., Nunes, M. C. N., Emond, J. P., Uysal, I., Badia, F., Wells, J. and Saenz, J."	2016	Reducing strawberry waste and losses in the postharvest supply chain via intelligent distribution management	"Acta Horticulturae, 10.17660/ActaHortic.2016.1120.38  "	1120	253-259	Journal Article		10.17660/ActaHortic.2016.1120.38  		
"Bromfield, J. J."	2016	A role for seminal plasma in modulating pregnancy outcomes in domestic species	Reproduction	152	6	R223-R232	Journal Article		10.1530/REP-16-0313	Animal Sci
"Bronnmann, J. and Asche, F."	2016	"The Value of Product Attributes, Brands and Private Labels: An Analysis of Frozen Seafood in Germany"	Journal of Agricultural Economics	67	1	231-244	Journal Article		10.1111/1477-9552.12138	
"Brown, A. L., Frazer, T. K., Shima, J. S. and Osenberg, C. W."	2016	Mass mortality of the vermetid gastropod Ceraesignum maximum	Coral Reefs	35	3	1027-1032	Journal Article		10.1007/s00338-016-1438-8	
"Brown, K., Sims, C., Odabasi, A., Bartoshuk, L., Conner, P. and Gray, D."	2016	Consumer Acceptability of Fresh-Market Muscadine Grapes	Journal of Food Science	81	11	S2808-S2816	Journal Article		10.1111/1750-3841.13522	Food Sci & Nutr
"Buchanan, J. W., Reecy, J. M., Garrick, D. J., Duan, Q., Beitz, D. C., Koltes, J. E., Saatchi, M., Koesterke, L. and Mateescu, R. G."	2016	Deriving Gene Networks from SNP Associated with Triacylglycerol and Phospholipid Fatty Acid Fractions from Ribeyes of Angus Cattle	Frontiers in Genetics	7		116	Journal Article		10.3389/fgene.2016.00116	Animal Sci
"Bunting, E. L., Fullman, T., Kiker, G. and Southworth, J."	2016	Utilization of the SAVANNA model to analyze future patterns of vegetation cover in Kruger National Park under changing climate	Ecological Modelling	342		147-160	Journal Article			ABE
"Burkett-Cadena, N. D., Gibson, J., Lauth, M., Stenn, T., Acevedo, C., Xue, R. D., Mcnelly, J., Northey, E., Hassan, H. K., Fulcher, A., Bingham, A. M., Van Olphen, J., Van Olphen, A. and Unnasch, T. R."	2016	Evaluation of the Honey-Card Technique for Detection of Transmission of Arboviruses in Florida and Comparison With Sentinel Chicken Seroconversion	Journal of Medical Entomology	53	6	1449-1457	Journal Article		10.1093/jme/tjw106	FMEL
"Burnett, J. and Sieving, K."	2016	Songbird distress call as a detection enhancement method and application to Red-shouldered Hawks Buteo Lineatus 	Florida Field Naturalist	44	4	157-168	Journal Article			
"Burnett, J. L., Roberts, C. P., Allen, C. R., Brown, M. B., Moulton, M. P."	2016	Range Expansion by Passer montanus in North America.	Biological Invasions	19	1	1-5	Journal Article		doi:10.1007/s10530-016-1273-4	
"Burrs, S. L., Bhargava, M., Sidhu, R., Kiernan-Lewis, J., Gomes, C., Claussen, J. C. and Mclamore, E. S."	2016	A paper based graphene-nanocauliflower hybrid composite for point of care biosensing	Biosensors & Bioelectronics	85		479-487	Journal Article		10.1016/j.bios.2016.05.037	ABE
"Burrus, R. G., Hogsette, J. A., Kaufman, P. E., Maruniak, J. E., Simonne, A. H. and Mai, V."	2016	Prevalence of Escherichia coli 0157:H7 from house flies (Diptera: Muscidae) and dairy samples in north central Florida.	Journal of Medical Entomology	0	0	doi: 10.1093/jme/tjw205	Journal Article		10.1093/jme/tjw205	Ent/Nem
"Buschbacher, R., Athayde, S., Bartels, W. and Mello, R."	2016	Resilience Assessment as a Tool for Understanding the Amazon Frontier as a Social-Ecological System	Sustentabilidade em Debate	7	2		Journal Article			
"Byrd, S. A., Collins, G. D., Culpepper, A. S., Dodds, D. M., Edmisten, K. L., Wright, D. L., Morgan, G. D., Baumann, P. A., Dotray, P. A., Manuchehri, M. R., Jones, A., Grey, T. L., Webster, T. M., Davis, J. W., Whitaker, J. R., Roberts, P. M., Snider, J. L. and Porter, W. M."	2016	"Cotton Stage of Growth Determines Sensitivity to 2,4-D"	Weed Technology	30	3	601-610	Journal Article		10.1614/wt-d-15-00191.1	
"Cai, X. and Deng, Z."	2016	Thidiazuron Promotes Callus Induction and Proliferation in Caladium xHortulanum Birdsey UF-4609	Propagation of Ornamental Plants	16	3	90-97	Journal Article			
"Calvo, F. J., Soriano, J. D., Stansly, P. A. and Belda, J. E."	2016	Can the parasitoid Necremnus tutae (Hymenoptera: Eulophidae) improve existing biological control of the tomato leafminer Tuta aboluta (Lepidoptera: Gelechiidae)?	Bulletin of Entomological Research	106	4	502-511	Journal Article		10.1017/s0007485316000183	
"Camara, D. C. P., Codeo, C. T., Juliano, S. A., Lounibos, L. P., Souza Riback, T. I., Pereira, G. R. and Honorio, N. A."	2016	"Seasonal Differences in Density But Similar Competitive Impact of Aedes albopictus (Skuse) on Aedes aegypti (L.) in Rio de Janeiro, Brazil"	PLoS ONE	11	6	e0157120	Journal Article			FMEL
"Cammarano, D., Rotter, R. P., Asseng, S., Ewert, F., Wallach, D., Martre, P., Hatfield, J. L., Jones, J. W., Rosenzweig, C., Ruane, A. C., Boote, K. J., Thorburn, P. J., Kersebaum, K. C., Aggarwal, P. K., Angulo, C., Basso, B., Bertuzzi, P., Biernath, C., Brisson, N., Challinor, A. J., Doltra, J., Gayler, S., Goldberg, R., Heng, L., Hooker, J., Hunt, L. A., Ingwersen, J., Izaurralde, R. C., Muller, C., Kumar, S. N., Nendel, C., O'leary, G. J., Olesen, J. E., Osborne, T. M., Palosuo, T., Priesack, E., Ripoche, D., Semenov, M. A., Shcherbak, I., Steduto, P., Stockle, C. O., Stratonovitch, P., Streck, T., Supit, I., Tao, F., Travasso, M., Waha, K., White, J. W. and Wolf, J."	2016	Uncertainty of wheat water use: Simulated patterns and sensitivity to temperature and CO2	Field Crops Research	198		80-92	Journal Article	"Report in Agronomy for K Boote, not ABE."	10.1016/j.fcr.2016.08.015	Agronomy
"Camp, E. V., Ahrens, R. N. M., Allen, M. S. and Lorenzen, K."	2016	Relationships between angling effort and fish abundance in recreational marine fisheries	Fisheries Management and Ecology	23	3-4	264-275	Journal Article		10.1111/fme.12168	
"Campbell, A. S., Ploetz, R. and Rollins, J. A."	2016	"Comparing avocado, swamp bay, and camphortree as hosts of Raffaelea lauricola using a green fluorescent protein (GFP)-labeled strain of the pathogen"	Phytopathology	107	1	70-74	Journal Article		10.1094/PHYTO-02-16-0072-R	
"Campbell, A. S., Ploetz, R. C., Dreaden, T. J., Kendra, P. E. and Montgomery, W. S."	2016	Geographic variation in mycangial communities of Xyleborus glabratus	Mycologia	108	4	657-667	Journal Article		10.3852/15-133	
"Campbell, B., Khachatryan, H., Hall, C., Behe, B. and Dennis, J."	2016	Crunch the Can or Throw the Bottle?  Effect of “Bottle Deposit Laws” and Municipal Recycling Programs	"Resources, Conservation and Recycling"	106		98-109	Journal Article			
"Campbell, B. E., Koehler, P. G., Buss, L. and Baldwin, R. W."	2016	Recent documentation of the tropical bed bug in Florida since the common bed bug resurgence (Hemiptera: Cimicidae).	Florida Entomologist	99	3	549-551	Journal Article			Ent/Nem
"Campbell, J. W., Cabrera, A. R., Stanley-Stahr, C. and Ellis, J. D."	2016	"An evaluation of the honey bee (Hymenoptera: Apidae) safety profile of a new systemic insecticide, Flupyradifurone, under field conditions in Florida."	"Journal of Economic Entomology,"	109	5	1967-1972	Journal Article		10.1093/jee/tow186	Ent/Nem
"Campbell, J. W., Ivrin, A., Irvin, H., Stanley-Stahr, C. and Ellis, J. D."	2016	"Insect visitors to flowering buckwheat, Fagropyrum esculentum (Polygonales: Polygonaceae), in North-Central Florida."	Florida Entomologist	99	2	264-268	Journal Article			Ent/Nem
"Campistol, C., Kattesh, H. G., Waller, J. C., Rawls, E. L., Arthington, J. D., Carroll, J. A., Pighetti, G. M. and Saxton, A. M."	2016	Effects of pre-weaning feed supplementation and total versus fenceline weaning on the physiology and performance of beef steers	International Journal of Livestock Production	7	8	48-54	Journal Article	"Need to confirm if peer reviewed. Not in DOAJ. Ulrichs not peer reviewed. Received 16 February, 2016; Accepted 31 May, 2016"	http://www.academicjournals.org/journal/IJLP/article-full-text-pdf/9D98EC359618	10.5897/ijlp2016.0291
"Campos-Herrera, R., El-Borai, F. E., Martin, J. a. R. and Duncan, L. W."	2016	Entomopathogenic nematode food web assemblages in Florida natural areas	Soil Biology & Biochemistry	93		105-114	Journal Article		10.1016/j.soilbio.2015.10.022	Citrus REC
"Campos-Herrera, R., Rodríguez Martín, J. A., Escuer, M., García-González, M. T., Duncan, L. W. and Gutiérrez, C."	2016	"Entomopathogenic nematode food webs in an ancient, mining pollution gradient in Spain"	Science of The Total Environment	572		312-323	Journal Article		http://dx.doi.org/10.1016/j.scitotenv.2016.07.187	Citrus REC
"Camps, A., Park, H., Pablos, M., Foti, G., Gommenginger, C. P., Liu, P. W. and Judge, J."	2016	Sensitivity of GNSS-R Spaceborne Observations to Soil Moisture and Vegetation	Ieee Journal of Selected Topics in Applied Earth Observations and Remote Sensing	9	10	4730-4742	Journal Article		10.1109/jstars.2016.2588467	ABE
"Canfield, D. E. J., Bachmann, R. W., Stephens, D. B., Hoyer, M. V., Bacon, L., Williams, S. and Scott, M."	2016	"Monitoring by citizen scientists demonstrates water clarity of Maine (USA) lakes is stable, and not declining, due to cultural eutrophication."	Inland Waters	6		11-27	Journal Article			
"Canfield, D. E. J., Hoyer, M. V., Ruiz-Bernard, I., Bigham-Stevens, D. and Bachmann, R. W."	2016	Long-term Changes in Water Quality at an Outstanding Florida Water System: Importance of Stochastic Events and Climate Change due to the Atlantic Multidecadal Oscillation	"Lake Reservoir Management, "	32		297-313	Journal Article			
"Cantrell, R. A., Warner, L. A., Lamm, A. and Rumble, J."	2016	Segmenting Florida residential irrigation users by utility-bill “botheredness” and household budgetary constraints	Housing and Society	43	1	50-67	Journal Article		10.1080/08882746.2016.1178007	Ag Ed
"Cao, Z., Sui, S., Yang, Q. and Deng, Z."	2016	"Inheritance of Rugose Leaf in Caladium and Genetic Relationships with Leaf Shape, Main Vein Color, and Leaf Spotting"	Journal of the American Society for Horticultural Science	141	5	527-534	Journal Article		10.21273/jashs03854-16	
"Cao, Z., Sui, S. Z., Cai, X. D., Yang, Q. and Deng, Z. N."	2016	"Somaclonal variation in 'Red Flash' caladium: morphological, cytological and molecular characterization"	Plant Cell Tissue and Organ Culture	126	2	269-279	Journal Article		10.1007/s11240-016-0996-3	
"Capinera, J. L."	2016	Some effects of copper-based fungicides on plant-feeding terrestrial molluscs: A role for repellents in mollusc management.	Crop Protection	83		76-82	Journal Article		http://dx.doi.org/10.1016/j.cropro.2016.01.018	Ent/Nem
"Cardenas, B. and Dukes, M. D."	2016	Soil moisture sensor irrigation controllers and reclaimed water; Part II: Residential evaluation	Applied Engineering in Agriculture	32	2	225-234	Journal Article			ABE
"Cardoso, J., Silva, J. a. T. and Vendrame, W. A."	2016	"Impacts of deforestation on some orchids of São Paulo State, Brazil"	Brazilian Journal of Nature Conservation	14	1	28-32	Journal Article	"In WOS, journal title appears to be NATUREZA & CONSERVACAO"	10.1016/j.ncon.2016.02.001	
"Carnohan, L. P., Kaufman, P. E., Allan, S. A., Gezan, S. A. and Weeks, E. N."	2016	Laboratory and field evaluation of brown dog tick behavioral responses to potential semiochemicals	Ticks and Tick-borne Diseases	8	2	226-234	Journal Article			Ent/Nem
"Carrijo, T. F., Constantini, J. P. and Scheffrahn, R. H."	2016	"Uncitermes almeriae, a new termite species from Amazonia (Isoptera, Termitidae, Syntermitinae)"	ZooKeys	595		1-6	Journal Article			Ft Lauderdale REC
"Carrillo, C. I. C., Funderburk, J. and Snyder, W. E."	2016	Thrips (Thysanoptera) collected from Solanum dulcamara (Solanales: Solanaceae) in Washington and Idaho	Florida Entomologist	99	2	306-307	Journal Article			
"Carrillo, D., Cruz, L. F., Kendra, P., Narvaez, T., Montgomery, W., Monterroso, A., De Grave, C. and Cooperband, M."	2016	"Distribution, Pest Status and Fungal Associates of Euwallacea nr. fornicatus in Florida Avocado Groves"	Insects	7	4	55	Journal Article			
"Carroll, R. K., Weiss, A., Broach, W. H., Wiemels, R. E., Mogen, A. B., Rice, K. C. and Shaw, L. N."	2016	"Genome-wide annotation, identification, and global transcriptomic analysis of regulatory or small RNA gene expression in Staphylococcus aureus"	mBio	7	1	e01990	Journal Article		10.1128/mBio.01990-15	
"Carson, L., Ozores-Hampton, M. and Morgan, K."	2016	"Correlation of petiole sap nitrate-nitrogen concentration measured by ion selective electrode, leaf tissue nitrogen concentration, and tomato yield in Florida"	Journal of Plant Nutrition	39	12	1809-1819	Journal Article		10.1080/01904167.2016.1187743	
"Carvalho, E. R., Martins, T., Lamb, G. C. and Vasconcelos, J. L. M."	2016	Ovulation time in suckled beef cows is anticipated by use of low doses of progesterone and temporary calf removal on fixed timed AI protocol	Theriogenology	86	9	2238-2243	Journal Article		10.1016/j.theriogenology.2016.07.015	
"Carvalho, R. F., Carvalho, S. D., O’grady, K. and Folta, K. M."	2016	Agroinfiltration of Strawberry Fruit—A Powerful Transient Expression System for Gene Validation	Current Plant Biology	6		19-37	Journal Article			
